question_uid,parliament,session,question_number,question_sitting_day,question_date,question_title,asker_name,asker_riding,number_of_responses
39-1-1,39,1,1,3,2006-04-04,Pesticide Residue Compensation Act,Mr. Casey,Cumberland—Colchester—Musquodoboit Valley,1
39-1-2,39,1,2,3,2006-04-04,Canadian Agricultural Income Stabilization Program,Mr. Easter,Malpeque,1
39-1-3,39,1,3,3,2006-04-04,Canadian Agri-Food Policy Institute,Mr. Easter,Malpeque,1
39-1-4,39,1,4,3,2006-04-04,“Empowering Canadian Farmers in the Marketplace” report,Mr. Easter,Malpeque,1
39-1-5,39,1,5,3,2006-04-04,Canadian Wheat Board,Mr. Easter,Malpeque,1
39-1-6,39,1,6,3,2006-04-04,Firearms,Mr. Breitkreuz,Yorkton—Melville,1
39-1-7,39,1,7,3,2006-04-04,Individuals considered too dangerous to own firearms,Mr. Breitkreuz,Yorkton—Melville,1
39-1-8,39,1,8,4,2006-04-05,Farmer Rail Car Coalition,Mr. Ritz,Battlefords—Lloydminster,1
39-1-9,39,1,9,8,2006-04-20,Office of the Superintendent of Financial Institutions,Ms. Charlton,Hamilton Mountain,1
39-1-10,39,1,10,8,2006-04-20,Science and technology projects,Mr. Fontana,London North Centre,2
39-1-11,39,1,11,8,2006-04-20,Arctic sovereignty,Ms. Black,New Westminster—Coquitlam,1
39-1-12,39,1,12,8,2006-04-20,Process for procurement,Ms. Black,New Westminster—Coquitlam,1
39-1-13,39,1,13,9,2006-04-24,Afghanistan,Ms. Black,New Westminster—Coquitlam,2
39-1-14,39,1,14,10,2006-04-25,Afghanistan,Mr. Siksay,Burnaby—Douglas,1
39-1-15,39,1,15,10,2006-04-25,Afghanistan,Mr. Siksay,Burnaby—Douglas,1
39-1-16,39,1,16,11,2006-04-26,Climate change programs,Cullen,Etobicoke North,1
39-1-17,39,1,17,11,2006-04-26,Public transit,Cullen,Etobicoke North,1
39-1-18,39,1,18,12,2006-04-27,Goose Bay Diversification Fund,Mr. Russell,Labrador,1
39-1-19,39,1,19,14,2006-05-01,Fiscal and economic policy,Mr. McCallum,Markham—Unionville,1
39-1-20,39,1,20,15,2006-05-02,Liquefied natural gas terminals,Cullen,Etobicoke North,1
39-1-21,39,1,21,15,2006-05-02,Liquefied natural gas terminals,Cullen,Etobicoke North,1
39-1-22,39,1,22,16,2006-05-03,Science and research projects,Mr. Fontana,London North Centre,3
39-1-23,39,1,23,17,2006-05-04,Port of Digby,Mr. Thibault,West Nova,1
39-1-24,39,1,24,20,2006-05-09,Hepatitis C,Mr. Dryden,York Centre,1
39-1-25,39,1,25,20,2006-05-09,2006 Census of Canada,Ms. Savoie,Victoria,1
39-1-26,39,1,26,20,2006-05-09,Exercise Trident Fury,Ms. Savoie,Victoria,1
39-1-27,39,1,27,20,2006-05-09,CIDA Funding of Súmate,Ms. McDonough,Halifax,1
39-1-28,39,1,28,20,2006-05-09,Procedures and practices regarding immigrant students,Ms. Chow,Trinity—Spadina,1
39-1-29,39,1,29,20,2006-05-09,Government of Canada Web site,Mr. Dhaliwal,Newton—North Delta,1
39-1-30,39,1,30,21,2006-05-10,Hepatitis C,Ms. Priddy,Surrey North,1
39-1-31,39,1,31,21,2006-05-10,Greenwich-Mohawk brownfield site,Mr. St. Amand,Brant,1
