question_uid,parliament,session,question_number,response_date,response_sitting_day,response_type,response_detail,response_details_full
39-1-1,39,1,1,2006-05-12,22,written,Sessional Paper No. 8555-391-1,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-1)  — May 12, 2006"
39-1-2,39,1,2,2006-05-29,28,written,Sessional Paper No. 8555-391-2,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-2)  — May 29, 2006"
39-1-3,39,1,3,2006-05-19,27,verbal,"Debates May 19, 2006","Answered — May 19, 2006 (See Debates)"
39-1-4,39,1,4,2006-10-26,70,written,Sessional Paper No. 8555-391-4,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-4)  — October 26, 2006"
39-1-5,39,1,5,2007-02-13,109,withdrawn,NA,"Withdrawn — February 13, 2007"
39-1-6,39,1,6,2006-05-12,22,verbal,"Debates May 12, 2006","Answered — May 12, 2006 (See Debates)"
39-1-7,39,1,7,2006-05-12,22,verbal,"Debates May 12, 2006","Answered — May 12, 2006 (See Debates)"
39-1-8,39,1,8,2006-05-12,22,verbal,"Debates May 12, 2006","Answered — May 12, 2006 (See Debates)"
39-1-9,39,1,9,2006-06-05,33,written,Sessional Paper No. 8555-391-9,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-9)  — June 5, 2006"
39-1-10,39,1,10,2006-10-16,NA,written,Sessional Paper No. 8555-391-10,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-10)  — October 16, 2006"
39-1-10,39,1,10,2006-10-16,NA,written,"Sessional Paper No. 8555-391-10Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-10)  — October 16, 2006","Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-10)  — October 16, 2006Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-10)  — October 16, 2006"
39-1-11,39,1,11,2006-06-05,33,verbal,"Debates June 5, 2006","Answered — June 5, 2006 (See Debates)"
39-1-12,39,1,12,2006-06-05,33,verbal,"Debates June 5, 2006","Answered — June 5, 2006 (See Debates)"
39-1-13,39,1,13,2006-06-07,35,written,Sessional Paper No. 8555-391-13,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-13)  — June 7, 2006"
39-1-13,39,1,13,2007-03-19,123,written,Sessional Paper No. 8555-391-13-01,"Made an Order for Return and revised answer tabled (Sessional Paper No. 8555-391-13-01)  — March 19, 2007"
39-1-14,39,1,14,2006-06-07,35,verbal,"Debates June 7, 2006","Answered — June 7, 2006 (See Debates)"
39-1-15,39,1,15,2006-06-07,35,verbal,"Debates June 7, 2006","Answered — June 7, 2006 (See Debates)"
39-1-16,39,1,16,2006-06-19,43,withdrawn,NA,"Withdrawn — June 19, 2006"
39-1-17,39,1,17,2006-06-19,43,withdrawn,NA,"Withdrawn — June 19, 2006"
39-1-18,39,1,18,2006-06-22,46,verbal,"Debates June 22, 2006","Answered — June 22, 2006 (See Debates)"
39-1-19,39,1,19,2006-06-15,41,verbal,"Debates June 15, 2006","Answered — June 15, 2006 (See Debates)"
39-1-20,39,1,20,2006-06-19,43,withdrawn,NA,"Withdrawn — June 19, 2006"
39-1-21,39,1,21,2006-06-19,43,withdrawn,NA,"Withdrawn — June 19, 2006"
39-1-22,39,1,22,2006-06-16,42,written,Sessional Paper No. 8555-391-22,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-22)  — June 16, 2006"
39-1-22,39,1,22,2006-10-16,NA,written,Sessional Paper No. 8555-391-22-01,"Made an Order for Return and supplementary answer tabled (Sessional Paper No. 8555-391-22-01)  — October 16, 2006"
39-1-22,39,1,22,2006-10-16,NA,written,"Sessional Paper No. 8555-391-22-01Made an Order for Return and supplementary answer tabled (Sessional Paper No. 8555-391-22-01)  — October 16, 2006","Made an Order for Return and supplementary answer tabled (Sessional Paper No. 8555-391-22-01)  — October 16, 2006Made an Order for Return and supplementary answer tabled (Sessional Paper No. 8555-391-22-01)  — October 16, 2006"
39-1-23,39,1,23,2006-06-16,42,written,Sessional Paper No. 8555-391-23,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-23)  — June 16, 2006"
39-1-24,39,1,24,2006-06-15,41,verbal,"Debates June 15, 2006","Answered — June 15, 2006 (See Debates)"
39-1-25,39,1,25,2006-06-21,45,verbal,"Debates June 21, 2006","Answered — June 21, 2006 (See Debates)"
39-1-26,39,1,26,2006-06-16,42,verbal,"Debates June 16, 2006","Answered — June 16, 2006 (See Debates)"
39-1-27,39,1,27,2006-06-21,45,verbal,"Debates June 21, 2006","Answered — June 21, 2006 (See Debates)"
39-1-28,39,1,28,2006-09-27,54,written,Sessional Paper No. 8555-391-28,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-28)  — September 27, 2006"
39-1-29,39,1,29,2006-06-16,42,verbal,"Debates June 16, 2006","Answered — June 16, 2006 (See Debates)"
39-1-30,39,1,30,2006-06-16,42,verbal,"Debates June 16, 2006","Answered — June 16, 2006 (See Debates)"
39-1-31,39,1,31,2006-09-18,47,verbal,"Debates September 18, 2006","Answered — September 18, 2006 (See Debates)"
39-1-32,39,1,32,2006-06-21,45,verbal,"Debates June 21, 2006","Answered — June 21, 2006 (See Debates)"
39-1-33,39,1,33,2006-09-18,47,written,Sessional Paper No. 8555-391-33,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-33)  — September 18, 2006"
39-1-33,39,1,33,2007-03-19,123,written,Sessional Paper No. 8555-391-33-01,"Made an Order for Return and revised answer tabled (Sessional Paper No. 8555-391-33-01)  — March 19, 2007"
39-1-34,39,1,34,2006-06-16,42,verbal,"Debates June 16, 2006","Answered — June 16, 2006 (See Debates)"
39-1-35,39,1,35,2006-06-21,45,verbal,"Debates June 21, 2006","Answered — June 21, 2006 (See Debates)"
39-1-36,39,1,36,2006-09-18,47,verbal,"Debates September 18, 2006","Answered — September 18, 2006 (See Debates)"
39-1-37,39,1,37,2006-06-22,46,verbal,"Debates June 22, 2006","Answered — June 22, 2006 (See Debates)"
39-1-38,39,1,38,2006-06-16,42,verbal,"Debates June 16, 2006","Answered — June 16, 2006 (See Debates)"
39-1-39,39,1,39,2006-06-22,46,written,Sessional Paper No. 8555-391-39,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-39)  — June 22, 2006"
39-1-40,39,1,40,2006-09-18,47,written,Sessional Paper No. 8555-391-40,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-40)  — September 18, 2006"
39-1-41,39,1,41,2006-09-18,47,written,Sessional Paper No. 8555-391-41,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-41)  — September 18, 2006"
39-1-42,39,1,42,2006-06-22,46,written,Sessional Paper No. 8555-391-42,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-42)  — June 22, 2006"
39-1-43,39,1,43,2006-06-22,46,written,Sessional Paper No. 8555-391-43,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-43)  — June 22, 2006"
39-1-44,39,1,44,2006-09-18,47,verbal,"Debates September 18, 2006","Answered — September 18, 2006 (See Debates)"
39-1-45,39,1,45,2006-09-18,47,verbal,"Debates September 18, 2006","Answered — September 18, 2006 (See Debates)"
39-1-46,39,1,46,2006-09-18,47,written,Sessional Paper No. 8555-391-46,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-46)  — September 18, 2006"
39-1-47,39,1,47,2006-06-22,46,verbal,"Debates June 22, 2006","Answered — June 22, 2006 (See Debates)"
39-1-48,39,1,48,2006-09-18,47,written,Sessional Paper No. 8555-391-48,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-48)  — September 18, 2006"
39-1-49,39,1,49,2006-09-18,47,written,Sessional Paper No. 8555-391-49,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-49)  — September 18, 2006"
39-1-50,39,1,50,2006-09-18,47,written,Sessional Paper No. 8555-391-50,"Made an Order for Return and answer tabled (Sessional Paper No. 8555-391-50)  — September 18, 2006"
