question_uid,parliament,session,response_sitting_day,question_number,asker_name,responder_name,response_content
39-1-6,39,1,22,6,Mr. Garry Breitkreuz,"Hon. Stockwell Day (Minister of Public Safety, CPC)","Mr. Speaker, the answer is as follows:a)	Nationally consistent standards for reporting authorizations to carry, ATC, issued and the centralized system to record the information were introduced for September 2004.  ATCs have been issued as indicated in the following table between September 1, 2004, and April 20, 2006:

Authorizations to Carry, ATC, issued – September 1, 2004 to April 20, 2006Province / TerritoryNumber of ATCs issued for protection against wildlife	Number of ATCs issued to armoured vehicle industryBritish Columbia/Yukon



		
	434	2,160Alberta/Northwest Territories1161,489
Saskatchewan19		619Manitoba/Nunavut9
	645	Ontario
	2354,712	Quebec732,566New Brunswick0346Nova Scotia	
		
	0569Newfoundland and Labrador
	0133
Prince Edward Island056
Total	88613,295	A third category of ATCs are issued for “protection of self or others”.  We cannot release data on this category since the disclosure of this information could reasonably be expected to threaten the safety of individuals.b)	The types of firearms authorized through ATCs include restricted and prohibited classes; however, specific firearm descriptions are not available."
39-1-7,39,1,22,7,Mr. Garry Breitkreuz,"Hon. Stockwell Day (Minister of Public Safety, CPC)","Mr. Speaker, with regard to Correctional Services Canada, CSC, for the purpose of responding to part a) of the member’s question, CSC has provided statistics on those federal offenders that have been convicted of murder or at least one Schedule 1 offence.  For a complete list of Schedule 1 offences, please refer to the Corrections and Conditional Release Act.Of the 12,661 federally incarcerated offenders, 756 are serving a sentence for a 1st degree murder offence1 , 1,661 are serving a sentence for a 2nd degree murder offence2, and 7,229 are serving a sentence for a Schedule I3  offence.  Total equals 9,646.Of the 8,340 federal offenders in the community, 168 are serving a sentence for a 1st degree murder offence, 1,415 are serving a sentence for a 2nd degree murder offence, and 3,554 are serving a sentence for a Schedule I offence.  Total equals 5,137. The data is as of March 26, 2006.With regard to the Royal Canadian Mounted Police, RCMP, the Canadian Criminal Records Information Services, CCRIS, and the Canadian Police Information Centre, CPIC, contain criminal justice information entered by police agencies and some government agencies such as the Canada Border Services Agency and Correctional Services Canada.  Although able to enter appropriate information, no agency is legally obligated to do so except in the case of Youth Criminal Justice.  For this reason, the statistical information provided about data in CCRIS and CPIC repositories is not reflective of overall Canadian statistics.   The RCMP was able to answer sub-questions b), c), d) and e):b) 	The RCMP can only provide information on the number of records within CPIC where persons are prohibited from possessing a firearm, not the number of people prohibited from owning a firearm.The number of records entered on CPIC for “prohibited from possessing firearms” is 201,097.It should be noted that a person could be prohibited more than once or in more than one province and each prohibition will be captured as a separate record.c) 	The CPIC system is designed in a way to capture all warrants. The system was not designed to differentiate between a criminal arrest warrant, for serious offences and a warrant for arrest, for such offences as non-payment of fines.  As such, to provide this information, a manual search in the system would have to take place which would represent a major undertaking that would not fall within the limited time of response.d) 	The RCMP is unable to provide this information as CPIC does not maintain this kind of statistical information.  The CPIC system was not devised as a statistics tool, but rather a police investigative tool.  As such, each police service would have to be contacted to verify if a specific individual is released with or without conditions.e) 	There are 161,916 records on CPIC for probation category with recognizance orders.  These orders include peace bonds (not of a criminal nature), recognizance and restraining orders.With regard to the Canada Firearms Centre, CAFC, the center is able to answer sub-questions f) and g) only:f)	As of March 31, 2006, there have been 6,311 licence applications refused, and 10,915 licences revoked.g)	As of March 31, 2006, 11,050 licence holders were under investigation for incidents that may result in their firearms licence being revoked."
39-1-8,39,1,22,8,Mr. Gerry Ritz,"Hon. Carol Skelton (Minister of National Revenue and Minister of Western Economic Diversification, CPC)","Mr. Speaker, the answer is as follows:a) This group, FRCC and later 3302881 Canada Ltd., has received funding from Western Economic Diversification Canada,WD.  There are five previous contracts, and one ongoing contract, as follows:Approved Date		  		Federal Funding Approved	Type	  of AssistanceJuly,  1996		    $365,000Conditionally Repayable Contribution (Loan)
June, 2002		    
		$100,000Non-repayable	Contribution	
		    Sept, 2003		    $200,000Non-repayable	Contribution

Oct, 2004	$117,000	Non-repayable	Contribution

Apr, 2005$195,000	Non-repayable	ContributionCurrent Assistance
Sept, 2005$375,000	Non-repayable	Contribution (Loan)
TOTAL ASSISTANCE$1,352,000	

	b) Third parties working for FRCC were not paid any funds directly by the government.  The expenditures made by FRCC, which qualified for government assistance, did include payments to third party consultants.  While FRCC did pay lobbyists as well, these payments were not included in the expenditures reimbursed by WD.  The lobbyists were paid by funds received from other sources.c) The first and last contracts, conditionally repayable contributions, consisted of loans: $365,000 and $375,000.  Repayment is conditional upon 3302881 Canada Ltd., or subsequent company formed for this purpose, being successful in purchasing, leasing or otherwise acquiring possession, use or control of all or any portion of the federal fleet, for subsequent leasing to the railroads.FRCC, 3302881 Canada Ltd., has a fiscal year ending July 31.  Repayment is to begin after they have operated for one complete fiscal year after receiving the railcars from the federal government, either through ownership or lease-to-purchase, with the first annual payment due on August 1, 2007.  Repayments will be made in five equal annual installments of $148,000.d) As mentioned, FRCC did hire lobbyists.  However, these expenses were not included in the expenditures reimbursed by WD.  The funds for the lobbyists came from other sources.e) No.f) All funds that were provided are listed above.g) The terms of payment of the funds to FRCC are that the funds be used to assist FRCC to negotiate transfer of the grain cars from the federal government to FRCC.  Terms of repayment are as noted above."
39-1-3,39,1,27,3,Hon. Wayne Easter,"Hon. Chuck Strahl (Minister of Agriculture and Agri-Food and Minister for the Canadian Wheat Board, CPC)","Mr. Speaker, the answer is as follows:a) Contracts for CAPI: There were no contracts awarded to the Canadian Agri-Food Policy Institute, CAPI, by the Department of Agriculture and Agri-Food or any other federal department in 2004 and 2005. Agriculture and Agri-Food Canada, AAFC, funded CAPI activities with grants and contributions through the Advancing Canadian Agriculture and Agri Food, ACAAF, and Canadian Adaptation and Rural Development, CARD, programs.

b) Terms of the grants and contributions to CAPI: In April 2004, to facilitate the establishment of the institute, the department provided a $2 million grant from the CARD program for setup and operating costs.In January 2005, CAPI applied for and received a $676,000 contribution from the ACAAF program to conduct independent research and assessment of the causes of the rapid decline in farm income in Canada and to present the findings at a national forum to a broad range of industry stakeholders and policy researchers.CAPI received an ACAAF grant of $400,000 to host a national conference entitled “Working Towards a New Direction for the Agri-Food Sector” in an effort to identify strategic future directions for the sector. The forum was held February 13-14, 2006


c) Papers, presentations and submissions: CAPI did not receive any other funding from other federal departments. As per the terms and conditions of the contribution agreement, the institute was not required to deliver or seek approval for the publication of the reports from AAFC or any other government department and these reports are publicly available on their own website: www.capi-icpa.ca.Recipients of ACAAF funding are obliged to use funds as per their funding agreement. CAPI fulfilled its objectives through the following activities:Under the project funded in January 2005, entitled “Understanding Factors Affecting Current and Future Farm Income Prospects”, CAPI produced a series of independent commissioned research papers that sought to develop a “fuller understanding of the factors affecting the competitiveness of Canada’s agriculture and agri-food supply chain”. In addition, a farm income forum was held in June 2005 to share the findings of these papers with a broad group of stakeholders with a view to start discussions on longer term approaches to farm income problems.The conference on “New Directions” was held in February 2006 and the Minister of Agriculture and Agri-Food participated as a speaker. CAPI has made the papers and presentations of this conference available on their website."
39-1-11,39,1,33,11,Ms. Dawn Black,"Hon. Peter MacKay (Minister of Foreign Affairs and Minister of the Atlantic Canada Opportunities Agency, CPC)","Mr. Speaker, the answer is as follows:a)	Yes.

b)	Canada has an unfettered right to regulate navigation in the waters of the Canadian Arctic, including the waterways that make up the Northwest Passage, as they are internal waters of Canada. The legal status of these waters as internal waters is based on a strong foundation in international law.c)	Canada's sovereignty over the lands and islands of the Arctic is longstanding and undisputed, with the sole exception of tiny Hans Island. Regarding the waters of the Canadian Arctic Archipelago, our title is not based on the extent of ice cover. In addition, no one disputes that these waters are Canadian.  The issue that has been a matter of disagreement with the United States is the extent to which Canada can control navigation by foreign-flagged vessels that engage in voyages across the waters of the Canadian archipelago.






 
Climate change may have the potential to increase the frequency of commercial navigation across the Northwest Passage as ice conditions improve in the future. With greater use for international navigation, it has been said that uncontrolled transits will contribute to the argument that an international strait could develop through the Canadian Arctic waters. For Canada,1.	  no international strait exists in these waters, nor can one develop there, as these waters are internal to Canada by virtue of historic title and our sovereignty there is absolute.

2.	  in any event, Canada will continue to exercise effective control on foreign navigation in our waters and to ensure that navigation takes place in accordance with Canada’s conditions.Canada’s policy has been and remains that it will allow international navigation in Canadian Arctic waters, so long as conditions and controls established by Canada to protect security, environmental and Inuit interests are met.d) 	Canada will continue to ensure that navigation in its Arctic waters is done in accordance with its regulations and controls.e)  	This information is classified for reasons of national security.f) 	It is important to indicate that the first and foremost advantage of submarines, whether nuclear or conventional, is to operate undetected. Conversely since the various waterways which make up the Northwest Passage are constricted by ice floes during most of the winter season, only nuclear submarines with under-ice operating capabilities can operate in such an environment. As such we assess that nations such as; the United States, Russia, United Kingdom and France have these capabilities. Nonetheless, during summer months, once the Northwest Passage is partially clear of ice, conventional submarines could potentially operate in these waterways. However since conventional submarines rely on fossil fuels to charge the batteries that permit them to operate underwater, it would be  highly unlikely for a conventional submarine to venture on a distant operation such as the Canadian Arctic without surface vessel support and go undetected on such a voyage.g) and h)	With the exception of tiny Hans Island, claimed by Denmark, no one disputes Canada’s sovereignty over the lands and islands of the Canadian arctic.Similarly, with the exception of disputes on the maritime delimitation between Canada and the US in the Beaufort Sea and between Canada and Denmark (Greenland) in the Lincoln Sea, no one disputes that the waters of the Canadian Arctic belong to Canada.With respect to the legal status of the waters of the Canadian Arctic archipelago, only the United States and the European Union have expressed their disagreement with the validity of the straight baselines which Canada drew around the Arctic archipelago in 1986, which confirmed the status of the waters of the archipelago as internal waters of Canada."
39-1-12,39,1,33,12,Ms. Dawn Black,"Hon. Gordon O'Connor (Minister of National Defence, CPC)","Mr. Speaker, the answer is as follows:


a)	Other then making recommendations to Public Works and refining internal processes, the Department of National Defence and the Canadian Forces have no authority to make changes to the government procurement system.b)	Internally, the Department of National Defence’s procurement process is being improved by defining operational requirements using high level mandatory requirements and focusing technical specifications on high level performance characteristics reducing the time required to prepare and respond to requests for proposals.  In addition, off-the-shelf, civilian and military, products will be employed whenever mandatory requirements are met.  As well, projects are being grouped under a single division to leverage the benefits and synergies of co-locating common project management activities.  Finally, a specific effort is being made to recruit, train and manage professional project managers that will contribute to a faster process

c)	In the short term, the department is currently evaluating options to ensure that the Canadian Forces have the right mix of equipment and hopes to pursue cabinet approval for a number of projects in the near future.d)	As of May 2006, the Department of National Defence and the Canadian Forces have not begun any studies for new military ports in the Arctic.   However, the department is looking at options to improve its presence, surveillance and response capabilities in the Arctic.e)	As of May 2006, the Department of National Defence and the Canadian Forces have not completed any environmental impact studies on the results of creating a deep-water port near Iqaluit. However, it will be looking at environmental and consultative work on the Arctic in the near future

f)	As of May 2006, no feasibility studies have been completed for the acquisition of icebreakers. Options to improve the Canadian Forces’ presence, surveillance and response capabilities in the Arctic are under consideration.g)	The Department of National Defence has done extensive research and scientific evaluation, dating from the 1950s onwards, on means to implement an Arctic surveillance system for the detection of submarines transiting through Canadian Arctic waters. The department will continue to explore the best means and options for maintaining domain awareness in the Arctic, including submarine detection."
39-1-14,39,1,35,14,Mr. Bill Siksay,"Hon. Gordon O'Connor (Minister of National Defence, CPC)","Mr. Speaker, the answer is as follows:a) During its deployment in Afghanistan, between October 2001 and May 2006, the Canadian Forces have participated in 404 restoration or development projects.b) 332 projects are deemed completed.c) Approximately 72 projects are at various stages of completion.d) The nature of these projects includes: community water access; medical facility renovation; medical equipment provision; medical supplies provision; road construction; bridges construction; school construction; school supplies; fire hall construction; support to non-governmental organizations; small business case development; widow training programs; water infrastructure; sanitation projects; provision of quality of life supplies; support to Afghan national security forces; support to orphanages; playground construction and renovation;  miscellaneous.e) The Canadian Forces projects were centered in and around Kabul and Kandahar city areas.f) Though not all projects are surveyed on a regular basis to confirm their serviceability there is no evidence or reports of any of these projects being attacked by insurgents."
39-1-15,39,1,35,15,Mr. Bill Siksay,"Hon. Gordon O'Connor (Minister of National Defence, CPC)","Mr. Speaker, due to operational requirements and taking into account section 15(1) of the Access to Information Act, information regarding the current status of detainees apprehended by Canadian Forces elements in Afghanistan, as well as to which authorities these individuals were transferred, is not releasable to the public."
39-1-19,39,1,41,19,Hon. John McCallum,"Hon. Jim Flaherty (Minister of Finance, CPC)","Mr. Speaker, the answer is as follows:a)  On average, individuals with total income less than $8,500 would have paid $315 in GST in 2007 had the tax rate stayed at 7%.b)	If an individual would have paid $315 in GST at 7%, the one-percentage point reduction would reduce his/her GST by $45, on average.c)	On average, those with $200,000 income would have paid $6,285 in GST in 2007 had the tax rate stayed at 7%.The responses to questions a) to c) were estimated by Finance Canada using the Statistics Canada Social Policy Database and Model.d) to h) The information necessary to answer these questions can be found in the Statistics Canada publication: Income Trends in Canada (Catalogue no. 13F0022XIE), which is available at the following web-address: http://www.statcan.ca/registered/IPS/Z2aZdU6u5bgfs/english/13F0022XIE/00004/products.htm
i) This information can be found in the Statistics Canada publication: Labour Force Historical Review 2005, (Catalogue no. 71F0004XCB), which is available at the following web-address: http://www.statcan.ca/bsolc/english/bsolc?catno=71F0004X"
39-1-24,39,1,41,24,Hon. Ken Dryden,"Hon. Tony Clement (Minister of Health and Minister for the Federal Economic Development Initiative for Northern Ontario, CPC)","Mr. Speaker, the answer is as follows:a)	Compensation to those infected by hepatitis C through the Canadian blood system has been provided by numerous sources. Approximately 6000 individuals were compensated through the federal/provincial/territorial agreement reached in 1999 to compensate those infected from January 1, 1986 to July 1, 1990.  Individuals infected outside this window have received compensation through the insolvency of the Red Cross and depending on the province, from their provincial governments.b)	There is no definition of “full compensation”.  One way to interpret full compensation is when the Courts have approved compensation packages as being in the best interests of the class and fair. The 1986-1990 class has received a generous compensation package and approximately 6000 individuals have received it.c)	If this is intended to mean those who are waiting for compensation from the federal government, the exact class size would be determined through the eligibility criteria of a final settlement agreement.d)	The Government of Canada fully intends to proceed with its commitment to provide compensation to those infected with hepatitis C through the blood system. Discussions are taking place with counsel representing those infected before January 1, 1986 and after July 1, 1990.  Much work is taking place at the present time to make progress on a settlement and a compensation arrangement.  Given that this is a negotiation, no firm date can be given as to when a final agreement will be reached, but the government is committed to compensating the class as quickly as possible.e)	Both parties in the negotiation have agreed that the substance of the discussions would remain between them, and stay at the negotiating table.  I must respect this agreement but I can assure you that significant work is underway at the present time to make progress on a final settlement agreement. Discussions are taking place and we will compensate the class as quickly as possible.  The most recent negotiating session was held May 24-26, 2006."
